ENT_ID,NAME
65976,fj technology service inc
65979,globe computers
65980,globe metals
65982,globe trade
66027,mynetnet corp
66080,thanecoat inc
66690,abu sayyaf group
66706,alitihaad alislamiya aiai
66707,egyptian islamic jihad
66709,alqaida
66710,al rashid trust
66713,armed islamic group
66737,eastern turkistan islamic movement
66740,islamic army of aden
66741,islamic movement of uzbekistan
66742,libyan islamic fighting group
66745,moroccan islamic combatant group
66757,rabita trust
66764,tunisian combatant group
66765,wafa humanitarian organization
66767,abu nidal organisation
66768,afghan support committee asc
66769,alaqsa martyrs brigade
66771,euskadi ta askatasuna eta
66775,communist party of the philippines
66777,algamaa alislamiyya
66778,global relief foundation
66782,partiya karkeren kurdistane pkk
66783,liberation tigers of tamil eelam ltte
66786,ejercito de liberacion nacional eln
66789,palestinian islamic jihad pij
66791,the popular front for liberation of palestine pflp
66792,the popular front for liberation of palestine  general command
66795,revival of islamic heritage society
66799,revolutionary peoples liberation party  front devrimci halk kurtulus partisicephesi dhkpc
66800,sendero luminoso sl
66803,ummah tameer enau utn
66822,asbat alansar
66823,harakat ulmujahidin hum
66824,jaishimohammed
66825,jamyah taawun alislamia
66828,babbar khalsa
66832,lashkar i jhangvi
66833,lashkaretayyiba
68071,egyptian aljihad
68072,aljihad
68073,jihad group
68074,new jihad
68081,aid organization of the ulema pakistan
68087,al jammah alislamiah al musallah
68088,gia
68096,groupe islamique combattant marocain
68097,gicm
68108,gict
68109,al wafa
68110,al wafa organization
68111,wafa aligatha alislamia
68116,jamiat ihya ul turath al islamia
68117,ahya ul turas
68118,basque homeland and liberty
68185,society of islamic cooperation
68186,jamiyat al taawun al islamiyya
69992,al kayali corporation
70001,tetrabal corporation inc
71559,alitihaad alislamiya  aiai
71566,ansar alislam
71592,benevolence international foundation
71595,eastern turkistan islamic movement etim
71598,harakat ulmujahidin  hum
71601,islamic international brigade iib
71605,jemaah islamiyah
71607,lashkar i jhangvi lj
71609,makhtab alkhidamat
71627,riyadussalikhin reconnaissance and sabotage battalion of chechen martyrs rsrsbcm
71628,the organization of alqaida in the islamic maghreb
71632,special purpose islamic regiment spir
72504,a  c international trade inc
72554,betair inc
72568,european defense associates
72570,far east trading company inc
72577,hercaire international
72583,jetborne inc
72586,kem and associates incorporated
72612,pan aviation inc
72629,siraj international inc
72635,swissco management group inc
72647,aero systems aviation corp
72648,aero systems pte ltd
72654,novacom inc
72690,hamas including izz aldin alqassam brigades
75613,ots refining equipment corporation
88392,all ports inc
88394,beta trading company
94350,defence industries organisation dio
94403,wha cheong tai co ltd
94408,china precision machinery importexport corp
104553,the great eastern islamic raiders front
111121,the islamic peacekeeping brigade
111122,the islamic peacekeeping army
111123,the international brigade
111124,islamic peacekeeping battalion
111125,international battalion
111126,islamic peacekeeping international brigade
111133,jemaah islamiya
111134,jemaah islamiah
111135,jamaah islamiyah
111151,riyadussalikhin reconnaissance and sabotage battalion
111152,riyadhassaliheen
111153,the sabotage and military surveillance group of the riyadh alsalihin martyrs
111154,firqat altakhrib wa alistitla alaskariyah li shuhada riyadh alsalihin
111156,the islamic special purpose regiment
111157,the aljihadfisisabililah special islamic regiment
178179,riyadussalikhin reconnaissance and sabotage battalion of chechen martyrs
178184,islamic international brigade
178188,special purpose islamic regiment
178405,technology and development group limited
178406,tmg engineering limited
178501,alharamain foundation pakistan
178502,alharamayn foundation kenya
178503,alharamayn foundation tanzania
178551,islamic regiment of special meaning
178652,tdg ltd
178653,tmg ltd
184881,al bir al dawalia
184882,bif
184883,bifusa
184884,mezhdunarodnyj blagotvoritelnyl fond
188643,gamaa alislamiyya
188649,islami bxfcyxfck dogu akincilar cephesi
188657,kurdistan workers party
188678,palestinian islamic jihad
188679,popular front for the liberation of palestine
188682,popular front for the liberation of palestine  general command
188694,devrimci halk kurtulu partisicephesi  dhkpc
188696,sendero luminoso  sl shining path
191905,afghan support committee
191908,lajnat ul masa eidatul afghania
191909,jamiat ayaturrhas al islamia
191937,al rasheed trust
191938,alrasheed trust
191940,alrashid trust
191971,alitihaad alislamiya
191996,al jammah al islamiah almusallah
191997,groupe islamique armxe9
192054,the eastern turkistan islamic party
192055,global relief foundation grf
