,left_WHOLE_NAME,left_UID,similarity,right_requestID,right_wholeName,boost_similarity
0,Sadi Tuma Abbas AL-JABBURI,7,0.99999994,AA012345,Sadi Tuma Abbas AL-JABBURI,0.99999994
17,Sadi Tuma Abbas AL-JABBURI,7,0.8501323,AA012346,Sadi Tuma Abbas AL-JABDURI,0.8501323
43, GAMA'A AL-ISLAMIYYA,173,0.99999994,BB099931, GAMA'A AL-ISLAMIYYA,0.99999994
54, GAMA'A AL-ISLAMIYYA,173,0.8075483,BB099932,  GANA'A AL-ISLAMIYYA,0.8075483
63, GAMA'A AL-ISLAMIYYA,173,0.67922455,BB099933,  GAMA'A AL-ISLANLYYA,0.67922455
65,Thein SOE,13223,1.0,CC072982,Thein SOE,1.0
72,Thein SOE,13223,0.75379395,CC072983,Thein SOF,0.75379395
80,Abdul Kader Ibrahim MOHAMED,53525,1.0,DD903844,Abdul Kader Ibrahim MOHAMED,1.0
139,Abdul Kader Ibrahim MOHAMED,53525,0.8829523,DD903845,Abdul Kader Ibrahim MOHANED,0.8829523
182,Abdul Kader Ibrahim MOHAMED,53525,0.7261981,DD903846,Abbul Kader Ibrahim MOHANED,0.7261981
206,Abdul Kader Ibrahim MOHAMED,53525,0.62013423,DD903847,Abbul Kader Ibranim MOHANED,0.62013423
211,Gideon GONO,55951,1.0,EE123456,Gideon  GONO,1.0
213,Gideon GONO,55951,0.7639963,EE123457,Gideon GOON,0.7639963
214,Gideon GONO,55951,0.75881636,EE123458,Gideon OONG,0.75881636
224,Mohammad GHANNADI MARAGHEH,143932,1.0,HH1234571,Mohammad GHANNADI MARAGHEH,1.0
248,Mohammad GHANNADI MARAGHEH,143932,0.78910667,HH1234572,Mohammad GHANNADI MAARGHEH,0.78910667
265,Mohammad GHANNADI MARAGHEH,143932,0.7620215,HH1234573,Mohammad GHANNADI MARAGEHH,0.7620215
283,Mohammad GHANNADI MARAGHEH,143932,0.7774251,HH1234574,Mohamamd GHANNADI MARAGHEH,0.7774251
287, SERVICIOS CHULAVISTA SA DE CV,1802995,0.9999999,GG1234575, SERVICIOS CHULAVISTA SA DE CV,0.9999999
309, SERVICIOS CHULAVISTA SA DE CV,1802995,0.76995265,GG1234576, SERVICIOS CHULAVISTA DE SA CV,0.76995265
324, SERVICIOS CHULAVISTA SA DE CV,1802995,0.7491671,GG1234577, SERVICIOS CHULAVISTA CV SA DE ,0.7491671
338, SERVICIOS CHULAVISTA SA DE CV,1802995,0.78912216,GG1234578, SERVIOSCI CHULAVISTA SA DE CV,0.78912216
348, LEADER (HONG KONG) INTERNATIONAL TRADING LIMITED,1944450,0.9999999,FF1234579, LEADER (HONG KONG) INTERNATIONAL TRADING LIMITED,0.9999999
413, LEADER (HONG KONG) INTERNATIONAL TRADING LIMITED,1944450,0.9034516,FF1234580, LEADER (HONG KONG) INTERNATIONAL TRDAING LIMITED,0.9034516
456, LEADER (HONG KONG) INTERNATIONAL TRADING LIMITED,1944450,0.6346458,FF1234581, LEADER (OHNG OKNG) INTERNATIONAL TRADING LIMITED,0.6346458
495,Andrei Nikolaevich RODKIN,2380120,0.99999994,JJ1234583,Andrei Nikolaevich RODKIN,0.99999994
522,Andrei Nikolaevich RODKIN,2380120,0.97465813,JJ1234584,Andrei Nikolaevich RODKI,0.97465813
551,Andrei Nikolaevich RODKIN,2380120,0.8918472,JJ1234585,Andri Nikolaevich RODKIN,0.8918472
577,Andrei Nikolaevich RODKIN,2380120,0.829814,JJ1234586,Andrei Nikolaevich RODN,0.829814
610,Andrei Nikolaevich RODKIN,2380120,0.73191655,JJ1234587,Andrei ikolavich RODKIN,0.73191655
617,Muhammad IQBAL,2404241,1.0,KK1234588,Muhammad IQBAL,1.0
853,Muhammad IQBAL,2404241,0.92004865,KK1234590,Muhamad IQBAL,0.92004865
854,Mohamad Iqbal ABDURRAHMAN,98006,0.61844337,KK1234590,Muhamad IQBAL,0.61844337
909, MZ MAYAK OAO,2438958,1.0,MM1234592, MZ MAYAK OAO,1.0
910, MZ MAYAK OAO,2438958,0.660026,MM1234593, MZ MAYAK AO,0.660026
912, MZ MAYAK OAO,2438958,0.6844602,MM1234595, Z AYAK OAO,0.6844602
914,Gildardo de Jesus BEDOYA LOPEZ,2486443,0.99999994,NN1234596,Gildardo de Jesus BEDOYA LOPEZ,0.99999994
927,Gildardo de Jesus BEDOYA LOPEZ,2486443,0.9787488,NN1234597,Gildardo de Jesus BEDOYA LOPE,0.9787488
938,Gildardo de Jesus BEDOYA LOPEZ,2486443,0.9097634,NN1234598,Gildaro de Jesus BEDOYA LOPEZ,0.9097634
952,Gildardo de Jesus BEDOYA LOPEZ,2486443,0.7664129,NN1234599,Gildardo de Jesus BDOYA LPEZ,0.7664129
962,Gildardo de Jesus BEDOYA LOPEZ,2486443,0.89888847,NN1234600,Gdardo de Jesus BEDOYA LOPEZ,0.89888847
975,Miguel ALBISU IRIARTE,39475,1.0,OO1234601,Miguel ALBISU IRIARTE,1.0
983,Miguel ALBISU IRIARTE,39475,1.0,OO1234602,"Miguel ALBISU IRI,ARTE",1.0
991,Miguel ALBISU IRIARTE,39475,1.0,OO1234603,Miguel ALBISU IRIA RTE,1.0
999,Miguel ALBISU IRIARTE,39475,0.7731268,OO1234604,Mi5guel ALBISU IRIARTE,0.7731268
1000,Miguel ALBISU IRIARTE,39475,1.0,OO1234605,"M,iguel ALBISU IRIARTE",1.0
1008,Ali ATWA,41247,1.0,PP1234606,Ali ATWA,1.0
1012,Ali ATWA,41247,1.0,PP1234607,Ali ATWA,1.0
1018, JAM'YAH TA'AWUN AL-ISLAMIA,41301,1.0,RR1234609, JAM'YAH TA'AWUN AL-ISLAMIA,1.0
1022, JAM'YAH TA'AWUN AL-ISLAMIA,41301,0.8159618,RR1234610, JAM'YAH T'A'AWUN AL-ISLAMIA,0.8159618
1023, JAM'YAH TA'AWUN AL-ISLAMIA,41301,1.0,RR1234611, JAM'YAH TA'AWUN AL-ISLA-MIA,1.0
1027, JAM'YAH TA'AWUN AL-ISLAMIA,41301,0.7924173,RR1234612, JAM'%YAH TA/'AW-UN AL-ISLAMIA,0.7924173
1029," CRYMSA - ARGENTINA, S.A.",49454,1.0,SS1234613," CRYMSA - ARGENTINA, S.A.",1.0
1031," CRYMSA - ARGENTINA, S.A.",49454,1.0,SS1234614," CRYMSA - ARGENTINA,, S.A.",1.0
1033," CRYMSA - ARGENTINA, S.A.",49454,1.0,SS1234615," CRYMSA - ARGENTINA,/ S.A.",1.0
1035," CRYMSA - ARGENTINA, S.A.",49454,0.8478343,SS1234616," CRYMSA - ARGE-NTINA, S\.A/.",0.8478343
1037, DURAND PROPERTIES LIMITED,29740,1.0,TT1234617, DURAND PROPERTIES LIMITED,1.0
1038, SARA PROPERTIES LIMITED,450389,0.6861057,TT1234617, DURAND PROPERTIES LIMITED,0.6861057
1039, ALMERINA PROPERTIES LIMITED,4280972,0.6202781,TT1234617, DURAND PROPERTIES LIMITED,0.6202781
1040, OZLAM PROPERTIES LIMITED,450387,0.6139654,TT1234617, DURAND PROPERTIES LIMITED,0.6139654
1068, DURAND PROPERTIES LIMITED,29740,0.8477839,TT1234618, DURAND PROPERTIES LTD,0.8477839
1069, ORAMA PROPERTIES LTD,3713006,0.6268131,TT1234618, DURAND PROPERTIES LTD,0.6268131
1070, FENTEX PROPERTIES LTD,2898150,0.6006197,TT1234618, DURAND PROPERTIES LTD,0.6006197
1092, T.M.G. ENGINEERING LIMITED,34658,0.9999999,UU1234619, T.M.G. ENGINEERING LIMITED,0.9999999
1093, A W A ENGINEERING LIMITED,7303,0.6994052,UU1234619, T.M.G. ENGINEERING LIMITED,0.6994052
1094, NICO ENGINEERING LIMITED,1273763,0.6928804,UU1234619, T.M.G. ENGINEERING LIMITED,0.6928804
1163, T.M.G. ENGINEERING LIMITED,34658,0.8320203,UU1234620, T.M.G. ENGINEERING LTD,0.8320203
1208, MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,39164,1.0,VV1234621, MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,1.0
1209,Mamoun DARKAZANLI,41199,0.6532112,VV1234621, MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,0.6532112
1210, SAD IMPORT EXPORT COMPANY,1508927,0.6486192,VV1234621, MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,0.6486192
1235, MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,39164,0.9356457,VV1234622, MAMOUN DARKAZANLI IMPORT-EXPORT,0.9356457
1236,Mamoun DARKAZANLI,41199,0.6981394,VV1234622, MAMOUN DARKAZANLI IMPORT-EXPORT,0.6981394
1264, KOREA MINING DEVELOPMENT TRADING CORPORATION,2522145,0.99999994,WW1234623, KOREA MINING DEVELOPMENT TRADING CORPORATION,0.99999994
1265, KOREA MINING DEVELOPMENT TRADING CORPORATION,2522146,0.99999994,WW1234623, KOREA MINING DEVELOPMENT TRADING CORPORATION,0.99999994
1266, KOREA MINING DEVELOPMENT TRADING CORPORATION,2522147,0.99999994,WW1234623, KOREA MINING DEVELOPMENT TRADING CORPORATION,0.99999994
1267, KOREA MINING DEVELOPMENT TRADING CORPORATION,134742,0.99999994,WW1234623, KOREA MINING DEVELOPMENT TRADING CORPORATION,0.99999994
1268, KOREA MINING DEVELOPMENT TRADING CORPORATION,2522148,0.99999994,WW1234623, KOREA MINING DEVELOPMENT TRADING CORPORATION,0.99999994
1382, KOREA MINING DEVELOPMENT TRADING CORPORATION,2522145,0.8728099,WW1234624, KOREA MINING DEVELOPMENT TRADING COMPANY,0.8728099
