,left_WHOLE_NAME,left_UID,similarity,right_requestID,right_wholeName,boost_similarity
0,GAMAA ALISLAMIYYA,173,0.99999994,BB099931,GAMAA ALISLAMIYYA,0.99999994
11,GAMAA ALISLAMIYYA,173,0.811918,BB099932,GANAA ALISLAMIYYA,0.811918
25,GAMAA ALISLAMIYYA,173,0.6653261,BB099933,GAMAA ALISLANLYYA,0.6653261
28,SERVICIOS CHULAVISTA SA DE,1802995,1.0,GG1234575,SERVICIOS CHULAVISTA SA DE,1.0
57,SERVICIOS CHULAVISTA SA DE,1802995,0.90871507,GG1234576,SERVICIOS CHULAVISTA DE,0.90871507
87,SERVICIOS CHULAVISTA SA DE,1802995,0.785559,GG1234577,SERVICIOS CHULAVISTA CV SA DE,0.785559
103,SERVICIOS CHULAVISTA SA DE,1802995,0.77110106,GG1234578,SERVIOSCI CHULAVISTA SA DE,0.77110106
110,LEADER HONG KONG INTERNATIONAL TRADING,1944450,1.0,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,1.0
111,HONG KONG INTERTRADE,1793827,0.63493955,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,0.63493955
225,LEADER HONG KONG INTERNATIONAL TRADING,1944450,0.8683914,FF1234580,LEADER HONG KONG INTERNATIONAL TRDAING,0.8683914
377,MZ MAYAK,2438958,1.0,MM1234592,MZ MAYAK,1.0
384,MZ MAYAK,2438958,0.8370637,MM1234593,MZ MAYAK AO,0.8370637
407,JAMYAH TAAWUN ALISLAMIA,41301,0.99999994,RR1234609,JAMYAH TAAWUN ALISLAMIA,0.99999994
411,JAMYAH TAAWUN ALISLAMIA,41301,0.99999994,RR1234610,JAMYAH TAAWUN ALISLAMIA,0.99999994
415,JAMYAH TAAWUN ALISLAMIA,41301,0.99999994,RR1234611,JAMYAH TAAWUN ALISLAMIA,0.99999994
419,JAMYAH TAAWUN ALISLAMIA,41301,0.99999994,RR1234612,JAMYAH TAAWUN ALISLAMIA,0.99999994
