,left_WHOLE_NAME,left_UID,similarity,right_requestID,right_wholeName,boost_similarity
26,SERVICIOS SILSA SAC,1019057,0.3777575,GG1234575,SERVICIOS CHULAVISTA SA DE,0.7110908
32,SERVICIOS EMPRESARIALES SODA SA DE,3531712,0.3361945,GG1234575,SERVICIOS CHULAVISTA SA DE,0.6695278
35,SERVICIOS EMPRESARIALES FICIE SA DE,3531711,0.3202289,GG1234575,SERVICIOS CHULAVISTA SA DE,0.65356225
40,SERVICIOS ADMINISTRATIVOS Y DE ORGANIZACION S C,339087,0.2811595,GG1234575,SERVICIOS CHULAVISTA SA DE,0.61449283
56,SERVICIOS SILSA SAC,1019057,0.34878424,GG1234576,SERVICIOS CHULAVISTA DE,0.6821176
62,SERVICIOS EMPRESARIALES FICIE SA DE,3531711,0.30615193,GG1234576,SERVICIOS CHULAVISTA DE,0.63948524
64,SERVICIOS EMPRESARIALES SODA SA DE,3531712,0.28818512,GG1234576,SERVICIOS CHULAVISTA DE,0.6215185
72,SERVICIOS ADMINISTRATIVOS Y DE ORGANIZACION S C,339087,0.2689501,GG1234576,SERVICIOS CHULAVISTA DE,0.6022835
86,SERVICIOS SILSA SAC,1019057,0.2915753,GG1234577,SERVICIOS CHULAVISTA CV SA DE,0.6249087
91,SERVICIOS EMPRESARIALES FICIE SA DE,3531711,0.277139,GG1234577,SERVICIOS CHULAVISTA CV SA DE,0.6104723
298,LEADER HONG KONG INTERNATIONAL TRADING,1944450,0.52197534,FF1234581,LEADER OHNG OKNG INTERNATIONAL TRADING,0.85530865
366,LEADER HONG KONG INTERNATIONAL TRADING,1944450,0.4499437,FF1234582,LEDAER HONG KNOG INTRENATIONAL TRDAING,0.78327703
377,MZ MAYAK,2438958,0.40721482,MM1234594,MZ MAAK AO,0.74054813
496,D2 IMAGINEERING,4211075,0.40561694,UU1234619,TMG ENGINEERING,0.6310623
502,TAWU MECHANICAL ENGINEERING AND TRADING,5136122,0.38904986,UU1234619,TMG ENGINEERING,0.616648
543,D2 IMAGINEERING,4211075,0.40561694,UU1234620,TMG ENGINEERING,0.6310623
549,TAWU MECHANICAL ENGINEERING AND TRADING,5136122,0.38904986,UU1234620,TMG ENGINEERING,0.616648
795,KOREA MINING DEVELOPMENT TRADING,2522148,0.48524576,WW1234625,KOREA MINING EXPLOIT TRADING,0.8185791
796,KOREA MINING DEVELOPMENT TRADING,2522147,0.48524576,WW1234625,KOREA MINING EXPLOIT TRADING,0.8185791
797,KOREA MINING DEVELOPMENT TRADING,2522146,0.48524576,WW1234625,KOREA MINING EXPLOIT TRADING,0.8185791
798,KOREA MINING DEVELOPMENT TRADING,2522145,0.48524576,WW1234625,KOREA MINING EXPLOIT TRADING,0.8185791
799,KOREA MINING DEVELOPMENT TRADING,134742,0.48524576,WW1234625,KOREA MINING EXPLOIT TRADING,0.8185791
817,ANTONOV,4326186,0.3067181,YY1234626,Antonio Catricalxe0,0.6400515
818,ANTONOV,2929936,0.3067181,YY1234626,Antonio Catricalxe0,0.6400515
