Ent_ID,Name
7911,"Kolář, Robert"
8749,"Lavrov, Sergey Viktorovich"
8940,"Solá, Felipe Carlos"
8994,"Kinakh, Anatolii Kyrylovych"
9057,"Stoltenberg, Jens"
9078,"Hun, Sen"
9081,"Minnikhanov, Rustam Nurgaliyevich"
9091,"Wickremesinghe, Ranil Shriyan"
9103,"Tasmagambetov, Imangali Nurgaliuly"
9344,"Putina, Lyudmila Aleksandrovna"
9858,"Alemán Rodríguez, Bernardo"
9873,"Abinader Wasaf, José Rafael"
10435,"Barkov, Mikhail Viktorovich"
10592,"Frank, Sergey Ottovich"
10728,"Bukayev, Gennadiy Ivanovich"
11102,"Al-Nahyan, Hamdan Bin Zayed Bin Sultan Bin Khalifa Bin Zayid"
11262,"Gazizullin, Farit Rafikovich"
11460,"Al-Dulaymi, Latif Nusayyif Jasim"
11665,"Dabire, Christophe Joseph Marie"
11902,"Mitiukov, Ihor Oleksandrovych"
11951,"Turi-Kovacs, Bela"
12113,"Hamadeh, Marwan Mohamad Ali"
12114,"Butime, Tom Rwakaikara"
12174,"Ondimba, Ali Ben Bongo"
12288,"Al Salih, Ali Salih Abdullah"
12301,"Al Meer, Abdulaziz Jalal"
12359,"Agostinho do Rosário, Carlos"
12432,"Pahad, Essop Goolam"
12568,"Kaboré, René Emile"
12681,"Balkhi, Sediqa"
13495,"Languiller-Tornesi, Telmo Ramon"
14066,"Frolick, Cedric Thomas"
14210,"Pahad, Aziz Goolam Hoosein"
14267,"Smith, Vincent George"
14529,"Rao, Dasari Narayana"
14842,"Lexer, Reinhold"
14843,"Lentsch, Edeltraud"
14844,"Leiner, Günther"
14880,"Lapp, Christine"
15368,"Ketlers, Tadeušs"
15387,"Šlesers, Ainārs"
15527,"Bedin, Tino"
15591,"De Petris, Loredana"
15677,"Budin, Milos"
15731,"Boscetto, Gabriele"
17010,"Varvitsiotis, Ioannis Miltiadi"
17030,"Lafazanis, Panagiotis Georgiou"
17080,"Dimas, Stavros Konstantinou"
17084,"Panagiotopoulos, Georgios Nikolaou"
17166,"Varvitsiotis, Miltiadis Ioanni"
17193,"Giannakou Koutsikou, Mariori Panagioti"
17628,"Aho, Esko Tapani"
18962,"Zadornov, Mikhail Mikhaylovich"
18966,"Stepashina, Tamara Vladimirovna"
18977,"Lekareva, Vera Aleksandrovna"
18984,"Zhukov, Aleksandr Dmitriyevich"
18992,"Rudenskiy, Igor Nikolayevich"
19001,"Morozov, Oleg Viktorovich"
19047,"Kolomeytsev, Nikolay Vasilyevich"
19058,"Savitskaya, Svetlana Yevgenyevna"
19094,"Ryazanov, Aleksandr Nikolayevich"
19095,"Shokhin, Aleksandr Nikolayevich"
19100,"Skoch, Andrey Vladimirovich"
19102,"Savelyev, Dmitriy Vladimirovich"
19116,"Grishankov, Mikhail Ignatyevich"
19118,"Yurevich, Mikhail Valeriyevich"
19136,"Generalov, Sergey Vladimirovich"
19140,"Shishkarev, Sergey Nikolayevich"
19142,"Bulavinov, Vadim Yevgenyevich"
19145,"Pivnenko, Valentina Nikolayevna"
19148,"Gartung, Valeriy Karlovich"
